,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.000625,300.0,99.0,1.0
2,0.00125,300.0,99.0,1.0
3,0.001875,300.0,99.0,1.0
4,0.0025,300.0,99.0,1.0
5,0.003125,300.0,99.0,1.0
6,0.00375,300.0,98.0,2.0
7,0.004375,300.0,97.0,3.0
8,0.005,300.0,97.0,3.0
9,0.005625,299.0,98.0,3.0
10,0.00625,299.0,97.0,4.0
11,0.006875,299.0,97.0,4.0
12,0.0075,299.0,97.0,4.0
13,0.008125,299.0,97.0,4.0
14,0.00875,299.0,97.0,4.0
15,0.009375,298.0,98.0,4.0
16,0.01,298.0,98.0,4.0
17,0.010625,298.0,98.0,4.0
18,0.01125,298.0,98.0,4.0
19,0.011875,298.0,98.0,4.0
20,0.0125,298.0,97.0,5.0
21,0.013125,298.0,97.0,5.0
22,0.01375,298.0,97.0,5.0
23,0.014375,298.0,97.0,5.0
24,0.015,297.0,98.0,5.0
25,0.015625,297.0,98.0,5.0
26,0.01625,297.0,98.0,5.0
27,0.016875,297.0,98.0,5.0
28,0.0175,297.0,98.0,5.0
29,0.018125,297.0,98.0,5.0
30,0.01875,297.0,98.0,5.0
31,0.019375,297.0,98.0,5.0
32,0.02,296.0,99.0,5.0
33,0.020625,296.0,99.0,5.0
34,0.02125,296.0,99.0,5.0
35,0.021875000000000002,295.0,100.0,5.0
36,0.0225,295.0,99.0,6.0
37,0.023125,295.0,99.0,6.0
38,0.02375,295.0,99.0,6.0
39,0.024375,295.0,99.0,6.0
40,0.025,295.0,99.0,6.0
41,0.025625000000000002,294.0,100.0,6.0
42,0.02625,293.0,101.0,6.0
43,0.026875,293.0,101.0,6.0
44,0.0275,293.0,101.0,6.0
45,0.028125,293.0,100.0,7.0
46,0.02875,292.0,101.0,7.0
47,0.029375000000000002,292.0,101.0,7.0
48,0.03,292.0,101.0,7.0
49,0.030625,292.0,101.0,7.0
50,0.03125,292.0,101.0,7.0
51,0.031875,292.0,101.0,7.0
52,0.0325,291.0,102.0,7.0
53,0.033125,291.0,102.0,7.0
54,0.03375,291.0,102.0,7.0
55,0.034375,291.0,102.0,7.0
56,0.035,291.0,102.0,7.0
57,0.035625000000000004,290.0,103.0,7.0
58,0.03625,290.0,103.0,7.0
59,0.036875,289.0,104.0,7.0
60,0.0375,289.0,104.0,7.0
61,0.038125,288.0,105.0,7.0
62,0.03875,288.0,105.0,7.0
63,0.039375,288.0,105.0,7.0
64,0.04,288.0,105.0,7.0
65,0.040625,288.0,105.0,7.0
66,0.04125,288.0,105.0,7.0
67,0.041875,288.0,105.0,7.0
68,0.0425,287.0,106.0,7.0
69,0.043125000000000004,287.0,105.0,8.0
70,0.043750000000000004,287.0,105.0,8.0
71,0.044375,287.0,105.0,8.0
72,0.045,287.0,105.0,8.0
73,0.045625,287.0,105.0,8.0
74,0.04625,287.0,105.0,8.0
75,0.046875,287.0,105.0,8.0
76,0.0475,287.0,104.0,9.0
77,0.048125,287.0,104.0,9.0
78,0.04875,287.0,104.0,9.0
79,0.049375,287.0,104.0,9.0
80,0.05,287.0,104.0,9.0
81,0.050625,287.0,104.0,9.0
82,0.051250000000000004,286.0,105.0,9.0
83,0.051875000000000004,286.0,104.0,10.0
84,0.0525,286.0,104.0,10.0
85,0.053125,286.0,104.0,10.0
86,0.05375,286.0,104.0,10.0
87,0.054375,286.0,104.0,10.0
88,0.055,285.0,105.0,10.0
89,0.055625,285.0,105.0,10.0
90,0.05625,285.0,105.0,10.0
91,0.056875,285.0,105.0,10.0
92,0.0575,285.0,105.0,10.0
93,0.058125,285.0,105.0,10.0
94,0.058750000000000004,285.0,105.0,10.0
95,0.059375000000000004,284.0,106.0,10.0
96,0.06,283.0,107.0,10.0
97,0.060625,283.0,107.0,10.0
98,0.06125,282.0,108.0,10.0
99,0.061875,281.0,109.0,10.0
100,0.0625,281.0,109.0,10.0
101,0.063125,281.0,109.0,10.0
102,0.06375,281.0,109.0,10.0
103,0.064375,281.0,109.0,10.0
104,0.065,281.0,109.0,10.0
105,0.065625,281.0,109.0,10.0
106,0.06625,281.0,109.0,10.0
107,0.066875,281.0,109.0,10.0
108,0.0675,281.0,108.0,11.0
109,0.068125,281.0,108.0,11.0
110,0.06875,280.0,109.0,11.0
111,0.069375,280.0,109.0,11.0
112,0.07,279.0,110.0,11.0
113,0.07062500000000001,278.0,111.0,11.0
114,0.07125000000000001,278.0,111.0,11.0
115,0.07187500000000001,277.0,112.0,11.0
116,0.0725,277.0,112.0,11.0
117,0.073125,276.0,113.0,11.0
118,0.07375,276.0,113.0,11.0
119,0.074375,276.0,113.0,11.0
120,0.075,275.0,114.0,11.0
121,0.075625,275.0,114.0,11.0
122,0.07625,274.0,115.0,11.0
123,0.076875,274.0,115.0,11.0
124,0.0775,274.0,115.0,11.0
125,0.078125,274.0,115.0,11.0
126,0.07875,274.0,115.0,11.0
127,0.079375,274.0,115.0,11.0
128,0.08,274.0,115.0,11.0
129,0.080625,274.0,115.0,11.0
130,0.08125,274.0,115.0,11.0
131,0.081875,273.0,116.0,11.0
132,0.0825,272.0,117.0,11.0
133,0.083125,272.0,117.0,11.0
134,0.08375,272.0,116.0,12.0
135,0.084375,272.0,116.0,12.0
136,0.085,272.0,116.0,12.0
137,0.085625,272.0,116.0,12.0
138,0.08625000000000001,272.0,116.0,12.0
139,0.08687500000000001,272.0,116.0,12.0
140,0.08750000000000001,272.0,116.0,12.0
141,0.088125,272.0,116.0,12.0
142,0.08875,272.0,116.0,12.0
143,0.089375,272.0,116.0,12.0
144,0.09,271.0,117.0,12.0
145,0.090625,271.0,117.0,12.0
146,0.09125,271.0,116.0,13.0
147,0.091875,271.0,116.0,13.0
148,0.0925,271.0,116.0,13.0
149,0.093125,271.0,116.0,13.0
150,0.09375,271.0,116.0,13.0
151,0.094375,270.0,117.0,13.0
152,0.095,270.0,117.0,13.0
153,0.095625,269.0,118.0,13.0
154,0.09625,269.0,118.0,13.0
155,0.096875,268.0,119.0,13.0
156,0.0975,268.0,119.0,13.0
157,0.098125,268.0,119.0,13.0
158,0.09875,268.0,119.0,13.0
159,0.099375,268.0,119.0,13.0
160,0.1,267.0,120.0,13.0
161,0.100625,267.0,120.0,13.0
162,0.10125,267.0,120.0,13.0
163,0.10187500000000001,267.0,120.0,13.0
164,0.10250000000000001,266.0,121.0,13.0
165,0.10312500000000001,265.0,122.0,13.0
166,0.10375000000000001,265.0,122.0,13.0
167,0.104375,265.0,122.0,13.0
168,0.105,265.0,122.0,13.0
169,0.105625,265.0,122.0,13.0
170,0.10625,264.0,123.0,13.0
171,0.106875,263.0,124.0,13.0
172,0.1075,262.0,125.0,13.0
173,0.108125,262.0,125.0,13.0
174,0.10875,262.0,125.0,13.0
175,0.109375,262.0,125.0,13.0
176,0.11,262.0,125.0,13.0
177,0.110625,262.0,125.0,13.0
178,0.11125,262.0,125.0,13.0
179,0.111875,261.0,126.0,13.0
180,0.1125,261.0,126.0,13.0
181,0.113125,261.0,126.0,13.0
182,0.11375,261.0,126.0,13.0
183,0.114375,261.0,126.0,13.0
184,0.115,261.0,126.0,13.0
185,0.115625,261.0,126.0,13.0
186,0.11625,261.0,126.0,13.0
187,0.116875,261.0,126.0,13.0
188,0.11750000000000001,261.0,126.0,13.0
189,0.11812500000000001,260.0,127.0,13.0
190,0.11875000000000001,259.0,127.0,14.0
191,0.11937500000000001,259.0,127.0,14.0
192,0.12,259.0,127.0,14.0
193,0.120625,258.0,128.0,14.0
194,0.12125,258.0,128.0,14.0
195,0.121875,258.0,128.0,14.0
196,0.1225,258.0,127.0,15.0
197,0.123125,258.0,127.0,15.0
198,0.12375,258.0,127.0,15.0
199,0.124375,257.0,128.0,15.0
200,0.125,256.0,129.0,15.0
201,0.12562500000000001,256.0,129.0,15.0
202,0.12625,256.0,129.0,15.0
203,0.12687500000000002,255.0,129.0,16.0
204,0.1275,255.0,129.0,16.0
205,0.128125,255.0,129.0,16.0
206,0.12875,255.0,129.0,16.0
207,0.129375,255.0,129.0,16.0
208,0.13,254.0,130.0,16.0
209,0.130625,254.0,130.0,16.0
210,0.13125,254.0,130.0,16.0
211,0.131875,253.0,131.0,16.0
212,0.1325,253.0,131.0,16.0
213,0.133125,253.0,131.0,16.0
214,0.13375,253.0,131.0,16.0
215,0.134375,253.0,131.0,16.0
216,0.135,253.0,131.0,16.0
217,0.135625,253.0,131.0,16.0
218,0.13625,253.0,130.0,17.0
219,0.136875,253.0,130.0,17.0
220,0.1375,253.0,130.0,17.0
221,0.138125,253.0,130.0,17.0
222,0.13875,253.0,130.0,17.0
223,0.139375,253.0,130.0,17.0
224,0.14,253.0,130.0,17.0
225,0.140625,254.0,130.0,16.0
226,0.14125000000000001,253.0,131.0,16.0
227,0.141875,253.0,131.0,16.0
228,0.14250000000000002,252.0,132.0,16.0
229,0.143125,252.0,132.0,16.0
230,0.14375000000000002,252.0,132.0,16.0
231,0.144375,252.0,132.0,16.0
232,0.145,252.0,132.0,16.0
233,0.145625,252.0,132.0,16.0
234,0.14625,252.0,132.0,16.0
235,0.146875,252.0,132.0,16.0
236,0.1475,251.0,133.0,16.0
237,0.148125,251.0,133.0,16.0
238,0.14875,251.0,133.0,16.0
239,0.149375,251.0,132.0,17.0
240,0.15,251.0,132.0,17.0
241,0.150625,251.0,132.0,17.0
242,0.15125,251.0,132.0,17.0
243,0.151875,251.0,131.0,18.0
244,0.1525,251.0,131.0,18.0
245,0.153125,251.0,131.0,18.0
246,0.15375,250.0,131.0,19.0
247,0.154375,249.0,132.0,19.0
248,0.155,249.0,132.0,19.0
249,0.155625,249.0,132.0,19.0
250,0.15625,249.0,132.0,19.0
251,0.15687500000000001,249.0,132.0,19.0
252,0.1575,249.0,132.0,19.0
253,0.15812500000000002,249.0,132.0,19.0
254,0.15875,249.0,132.0,19.0
255,0.15937500000000002,249.0,132.0,19.0
256,0.16,249.0,132.0,19.0
