,time,S,I,R,N
0,0.0,300.0,100.0,0.0,400.0
1,0.5,213.6861059580042,46.411642607669634,27.99964319864911,288.09739176432294
2,1.0,182.05673493433346,22.170835514412513,31.792584257378625,236.0201547061246
3,1.5,171.19352246463234,11.412036981400094,27.75063815646024,210.35619760249267
4,2.0,168.16320430985482,6.393039236948557,22.062906393901965,196.61914994070534
5,2.5,167.96158356461274,3.866676013151236,16.807931491302426,188.6361910690664
6,3.0,168.63851351026958,2.4901646887809656,12.52923874602638,183.65791694507692
7,3.5,169.45651041249346,1.6839264689000806,9.23330687600823,180.37374375740177
8,4.0,170.1650934901724,1.1815534036688777,6.765090150868994,178.11173704471028
9,4.5,170.70559208955717,0.8521519741314416,4.9448606688516925,176.5026047325403
10,5.0,171.08938111305443,0.6271658707766152,3.6136610675915577,175.3302080514226
11,5.5,171.3482000994723,0.468499836545794,2.6441614003737985,174.4608613363919
12,6.0,171.51491957606765,0.3538111497436427,1.9391382720930954,173.8078689979044
13,6.5,171.61711380507242,0.26934168318583485,1.4262802842295423,173.3127357724878
14,7.0,171.67583085048295,0.20624432904508758,1.052618228772762,172.9346934083008
15,7.5,171.70627480561873,0.1586110211491879,0.7796958917889575,172.64458171855688
16,8.0,171.7190148533973,0.12236754886140774,0.5797317071060746,172.4211141093648
17,8.5,171.72117467277315,0.09462843633226109,0.43270179288778016,172.2485049019932
18,9.0,171.71742071822985,0.07330549608748908,0.3241798026444191,172.11490601696175
19,9.5,171.71071962870485,0.05686140572397371,0.2437622611129958,172.01134329554182
20,10.0,171.70289150581866,0.04414914461893208,0.18393185951688448,171.93097250995447
21,10.5,171.69500106119054,0.03430402970516165,0.13924173411692908,171.86854682501263
22,11.0,171.68762732012087,0.026669061781502162,0.10573198658666397,171.82002836848903
23,11.5,171.68104569841088,0.020742046832628404,0.08051287590063291,171.78230062114415
24,12.0,171.6753485186068,0.0161373780109837,0.061467031910848784,171.75295292852863
25,12.5,171.67052317514387,0.0125579547642441,0.047036434218060634,171.73011756412618
26,13.0,171.66650168327445,0.00977427641179167,0.03606969853170279,171.71234565821794
27,13.5,171.6631912155358,0.007608714645634285,0.02771228247139157,171.69851221265282
28,14.0,171.66049222182616,0.0059235860047656165,0.021327277105005146,171.68774308493593
29,14.5,171.65830859360358,0.0046120495918958535,0.01643804248867555,171.67935868568415
30,15.0,171.65655284495077,0.003591127494405752,0.01268648880850927,171.67283046125368
31,15.5,171.65514826269776,0.002796333258400673,0.00980260204033967,171.6677471979965
32,16.0,171.65402928715545,0.002177526366364143,0.00758208239453784,171.66378889591635
33,16.5,171.65314092354635,0.0016957060706646087,0.005869860716769755,171.66070649033378
34,17.0,171.65243767979834,0.001320527696301626,0.004547892629964152,171.6583061001246
35,17.5,171.65188232829215,0.0010283762251321101,0.003526080196099979,171.65643678471338
36,18.0,171.6514446622886,0.0008008707037789121,0.0027354908468509506,171.65498102383924
37,18.5,171.65110033805044,0.0006237022830087016,0.0021232716107410805,171.6538473119442
38,19.0,171.650829844814,0.0004857309610927804,0.001648820145443484,171.65296439592055
39,19.5,171.6506176158254,0.0003782831324247208,0.0012808916487426732,171.65227679060658
40,20.0,171.65045127736968,0.00029460512063330454,0.000995405644583871,171.6517412881349
41,20.5,171.65032102431607,0.00022943795133139585,0.0007737782717088305,171.6513242405391
42,21.0,171.6502191070761,0.00017868640177071045,0.0006016506440540978,171.65099944412194
43,21.5,171.65013941403316,0.00013916138664216366,0.0004679167840033727,171.6507464922038
44,22.0,171.65007713420079,0.00010837940601572252,0.00036397887669114144,171.6505494924835
45,22.5,171.6500284863262,8.440640202207475e-05,0.0002831755329445906,171.65039606826116
46,23.0,171.6499905024133,6.573618230054296e-05,0.0002203420795648982,171.65027658067515
47,23.5,171.64996085542742,5.119575278760116e-05,0.0001714718493858863,171.6501835230296
48,24.0,171.64993772262113,3.987160075304771e-05,0.00013345490351433158,171.6501110491254
49,24.5,171.64991967741724,3.105228985224015e-05,0.00010387623401096904,171.6500546059411
50,25.0,171.64990560408157,2.4183756567080942e-05,8.085973580131423e-05,171.65001064757394
51,25.5,171.64989463051313,1.8834497055572892e-05,6.294745192265943e-05,171.6499764124621
52,26.0,171.64988607539286,1.4668455803414561e-05,4.9006039831854054e-05,171.6499497498885
53,26.5,171.64987940668118,1.142391194037877e-05,3.81542694634522e-05,171.64992898486258
54,27.0,171.6498742090666,8.897036247577778e-06,2.9706788529250555e-05,171.6499128128914
55,27.5,171.64987015846046,6.929085531815851e-06,2.3130480980547895e-05,171.64990021802697
56,28.0,171.64986700203002,5.396429687230028e-06,1.801058206562173e-05,171.64989040904177
57,28.5,171.64986454257865,4.202784802125021e-06,1.4024358469917646e-05,171.64988276972193
58,29.0,171.64986262633454,3.2731643067056896e-06,1.092065639696168e-05,171.64987682015524
59,29.5,171.64986113340916,2.5491681179125187e-06,8.504005092572082e-06,171.64987218658237
60,30.0,171.64985997034526,1.985313810981464e-06,6.622257392374737e-06,171.64986857791646
61,30.5,171.64985906429916,1.546179320116717e-06,5.156978246673024e-06,171.64986576745673
62,31.0,171.64985835850044,1.2041776587939533e-06,4.015968619112726e-06,171.64986357864672
63,31.5,171.64985780870953,9.37823858614269e-07,3.127449372321149e-06,171.64986187398276
64,32.0,171.6498573804547,7.303852499102757e-07,2.435535935744676e-06,171.6498605463759
65,32.5,171.64985704687726,5.68830290817569e-07,1.8967167361687454e-06,171.64985951242429
66,33.0,171.64985678705148,4.430099076165411e-07,1.4771125214389407e-06,171.6498587071739
67,33.5,171.64985658467492,3.450199163402253e-07,1.1503431632441966e-06,171.649858080038
68,34.0,171.64985642704758,2.687044717193568e-07,8.958671425345163e-07,171.6498575916192
69,34.5,171.64985630427617,2.0926934924226324e-07,6.976889139159675e-07,171.64985721123443
70,35.0,171.6498562086541,1.6298076607484629e-07,5.433526292534828e-07,171.6498569149875
71,35.5,171.64985613417838,1.2693082031099817e-07,4.2315866121035597e-07,171.64985668426786
72,36.0,171.64985607617305,9.885481310947478e-08,3.295535427919359e-07,171.6498565045814
73,36.5,171.64985603099603,7.698897764326597e-08,2.5665506097597476e-07,171.64985636464007
74,37.0,171.64985599581044,5.995967720641442e-08,1.99882419077632e-07,171.64985625565254
75,37.5,171.64985596840668,4.6697111761771084e-08,1.5566832997535793e-07,171.64985617077213
76,38.0,171.6498559470638,3.6368111867517636e-08,1.2123461544561545e-07,171.64985610466653
77,38.5,171.6498559304414,2.8323798014875792e-08,9.441774158391606e-08,171.64985605318293
78,39.0,171.64985591749544,2.2058817273718625e-08,7.353279912655151e-08,171.64985601308706
79,39.5,171.64985590741284,1.7179596443807018e-08,5.726760396058577e-08,171.64985598186004
80,40.0,171.6498558995603,1.3379617337327554e-08,4.4600271996764595e-08,171.64985595754018
81,40.5,171.6498558934446,1.0420160957170269e-08,3.473491516551239e-08,171.64985593859967
82,41.0,171.6498558886816,8.115310897925547e-09,2.7051722831596242e-08,171.64985592384863
83,41.5,171.64985588497208,6.320273865966611e-09,2.1068050631257336e-08,171.6498559123604
84,42.0,171.64985588208307,4.922283600278846e-09,1.6407925110145057e-08,171.64985590341328
85,42.5,171.64985587983307,3.833516767929075e-09,1.2778602911919473e-08,171.6498558964452
86,43.0,171.64985587808073,2.9855758026367067e-09,9.95207159521149e-09,171.64985589101838
87,43.5,171.64985587671598,2.3251920920754684e-09,7.750758648353639e-09,171.64985588679193
88,44.0,171.64985587565312,1.8108795832398552e-09,6.036325968785261e-09,171.64985588350032
89,44.5,171.64985587482533,1.4103285815595511e-09,4.7011347538413616e-09,171.6498558809368
90,45.0,171.64985587418064,1.09837601926064e-09,3.661265550501967e-09,171.6498558789403
91,45.5,171.64985587367855,8.554246829271377e-10,2.8514199261144444e-09,171.6498558773854
92,46.0,171.64985587328752,6.662120943440708e-10,2.220694619339786e-09,171.64985587617443
93,46.5,171.64985587298298,5.188517043199099e-10,1.7294760418816296e-09,171.6498558752313
94,47.0,171.6498558727458,4.040861661968158e-10,1.3469185083915143e-09,171.6498558744968
95,47.5,171.64985587256106,3.147057788438913e-10,1.0489962613363234e-09,171.64985587392476
96,48.0,171.6498558724172,2.4509556506296453e-10,8.169668729323725e-10,171.64985587347925
97,48.5,171.64985587230515,1.9088253235895953e-10,6.362460554846579e-10,171.64985587313228
98,49.0,171.6498558722179,1.4866095659665278e-10,4.955170876434541e-10,171.64985587286208
99,49.5,171.64985587214994,1.1577843055180024e-10,3.859215843136913e-10,171.64985587265164
100,50.0,171.64985587209702,9.016923668416333e-11,3.0054400285560057e-10,171.64985587248773
101,50.5,171.64985587205578,7.022457642122135e-11,2.3408666645011435e-10,171.6498558723601
102,51.0,171.6498558720237,5.4691503609129265e-11,1.8228870962157934e-10,171.64985587226067
103,51.5,171.64985587199868,4.2594213015794976e-11,1.4197636802524864e-10,171.64985587218325
104,52.0,171.6498558719792,3.317273914065612e-11,1.1055584544889694e-10,171.64985587212294
105,52.5,171.64985587196404,2.5835214320931707e-11,8.611789912542968e-11,171.649855872076
106,53.0,171.64985587195224,2.0120686934491464e-11,6.704869588855763e-11,171.6498558720394
107,53.5,171.64985587194303,1.5670163896721218e-11,5.222929993251396e-11,171.64985587201093
108,54.0,171.64985587193587,1.220405830822893e-11,4.068874294175293e-11,171.64985587198876
109,54.5,171.6498558719303,9.504625489069596e-12,3.167843147558581e-11,171.64985587197148
110,55.0,171.64985587192595,7.402284011259555e-12,2.468582593566657e-11,171.64985587195804
111,55.5,171.64985587192257,5.764962401345256e-12,1.9217720187979865e-11,171.64985587194755
112,56.0,171.64985587191993,4.489802260812166e-12,1.497906869901458e-11,171.6498558719394
113,56.5,171.64985587191788,3.4966965849579923e-12,1.1652074541447344e-11,171.64985587193303
114,57.0,171.6498558719163,2.7232573501011353e-12,9.071752063516528e-12,171.64985587192808
115,57.5,171.64985587191504,2.120896227251359e-12,7.0593159187691355e-12,171.64985587192422
116,58.0,171.64985587191407,1.651772208235155e-12,5.482076858796251e-12,171.6498558719212
117,58.5,171.6498558719133,1.2864143906908588e-12,4.284240657668327e-12,171.64985587191887
118,59.0,171.6498558719127,1.0018705825936531e-12,3.34665096025816e-12,171.64985587191705
119,59.5,171.64985587191225,7.802654195492212e-13,2.6019180026688558e-12,171.64985587191563
