,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.5,181.6898095184123,162.85723475242105,55.45295572916666
2,1.0,126.10075597929449,169.70342537742394,104.19581864328157
3,1.5,116.04235781625331,152.50503072586108,131.45261145788558
4,2.0,121.59588919720926,136.72312775970659,141.68098304308415
5,2.5,129.62911445158682,127.2212650753587,143.14962047305448
6,3.0,135.81115331453677,122.78311223753894,141.40573444792426
7,3.5,139.34916694944306,121.42105839896986,139.22977465158704
8,4.0,140.79597129505402,121.54535907205849,137.6586696328875
9,4.5,141.02396210898863,122.1411950571061,136.8348428339053
10,5.0,140.74971224012043,122.69769331548052,136.55259444439906
11,5.5,140.39616920854613,123.04887295786519,136.55495783358873
12,6.0,140.13758000830023,123.20760093531679,136.65481905638296
13,6.5,140.00112811156205,123.24505253054684,136.75381935789113
14,7.0,139.95383243575372,123.22782583218776,136.8183417320585
15,7.5,139.95351456298985,123.19775643428818,136.84872900272194
16,8.0,139.96945312694697,123.1736575456929,136.85688932736014
17,8.5,139.98547840152472,123.15993054933732,136.85459104913798
18,9.0,139.99600191039238,123.15450774670933,136.84949034289832
19,9.5,140.0010009403764,123.15381218961926,136.84518687000434
20,10.0,140.00237450718052,123.15498233169376,136.8426431611257
21,10.5,140.00202714266618,123.15639012980141,136.8415827275324
22,11.0,140.00120788600688,123.15739366576109,136.84139844823198
23,11.5,140.00050917506508,123.15791174355464,136.8415790813803
24,12.0,140.00009312554556,123.15808403011926,136.84182284433518
25,12.5,139.99991790564303,123.15807792890777,136.8420041654492
26,13.0,139.999885991277,123.15801258981982,136.8421014189032
27,13.5,139.9999143742572,123.1579494361552,136.84213618958762
28,14.0,139.99995369404678,123.15790883571731,136.8421374702359
29,14.5,139.99998320095224,123.15789000684158,136.84212679220622
30,15.0,139.99999914712276,123.15788516482671,136.8421156880505
31,15.5,140.0000049251334,123.15788680416912,136.84210827069748
32,16.0,140.00000521184288,123.1578901063982,136.84210468175888
33,16.5,140.00000351122196,123.1578928404779,136.84210364830014
34,17.0,140.0000017142787,123.1578944353321,136.8421038503892
35,17.5,140.0000005045468,123.15789508785822,136.842104407595
36,18.0,139.99999991436516,123.15789519107288,136.84210489456194
37,18.5,139.99999974097557,123.15789506975841,136.84210518926602
38,19.0,139.99999977076973,123.15789491311244,136.84210531611785
39,19.5,139.99999986014947,123.15789479839344,136.84210534145706
40,20.0,139.99999993916418,123.15789473769523,136.84210532314057
41,20.5,139.99999998733736,123.15789471652776,136.8421052961349
42,21.0,140.00000000827455,123.15789471626152,136.8421052754639
43,21.5,140.00000001261793,123.15789472327472,136.84210526410735
44,22.0,140.0000000097556,123.15789473037012,136.8421052598743
45,22.5,140.00000000540354,123.15789473504431,136.84210525955217
46,23.0,140.00000000204153,123.15789473727231,136.84210526068614
47,23.5,140.00000000018065,123.15789473788996,136.8421052619294
48,24.0,139.99999999947838,123.15789473774062,136.842105262781
49,24.5,139.99999999941693,123.15789473737908,136.84210526320402
50,25.0,139.9999999995971,123.15789473706937,136.84210526333354
51,25.5,139.99999999979815,123.1578947368844,136.84210526331745
52,26.0,139.99999999993696,123.1578947368062,136.84210526325683
53,26.5,140.00000000000645,123.1578947367917,136.8421052632018
54,27.0,140.00000000002814,123.15789473680411,136.84210526316775
55,27.5,140.00000000002586,123.1578947368215,136.84210526315263
56,28.0,140.00000000001614,123.15789473683459,136.84210526314928
57,28.5,140.00000000000725,123.15789473684168,136.84210526315104
58,29.0,140.00000000000168,123.15789473684427,136.84210526315402
59,29.5,139.9999999999992,123.15789473684441,136.84210526315638
60,30.0,139.9999999999986,123.15789473684366,136.8421052631577
61,30.5,139.9999999999989,123.15789473684286,136.84210526315826
62,31.0,139.99999999999937,123.15789473684232,136.84210526315832
63,31.5,139.99999999999977,123.15789473684207,136.84210526315815
64,32.0,139.99999999999997,123.157894736842,136.842105263158
65,32.5,140.00000000000006,123.15789473684201,136.84210526315792
66,33.0,140.00000000000006,123.15789473684204,136.84210526315792
67,33.5,140.00000000000006,123.15789473684207,136.84210526315786
68,34.0,140.00000000000003,123.15789473684208,136.84210526315792
69,34.5,140.00000000000003,123.15789473684208,136.84210526315792
70,35.0,140.00000000000003,123.15789473684208,136.84210526315792
71,35.5,140.00000000000003,123.15789473684208,136.84210526315792
72,36.0,140.00000000000003,123.15789473684208,136.84210526315792
73,36.5,140.00000000000003,123.15789473684208,136.84210526315792
74,37.0,140.00000000000003,123.15789473684208,136.84210526315792
75,37.5,140.00000000000003,123.15789473684208,136.84210526315792
76,38.0,140.00000000000003,123.15789473684208,136.84210526315792
77,38.5,140.00000000000003,123.15789473684208,136.84210526315792
78,39.0,140.00000000000003,123.15789473684208,136.84210526315792
79,39.5,140.00000000000003,123.15789473684208,136.84210526315792
80,40.0,140.00000000000003,123.15789473684208,136.84210526315792
81,40.5,140.00000000000003,123.15789473684208,136.84210526315792
82,41.0,140.00000000000003,123.15789473684208,136.84210526315792
83,41.5,140.00000000000003,123.15789473684208,136.84210526315792
84,42.0,140.00000000000003,123.15789473684208,136.84210526315792
85,42.5,140.00000000000003,123.15789473684208,136.84210526315792
86,43.0,140.00000000000003,123.15789473684208,136.84210526315792
87,43.5,140.00000000000003,123.15789473684208,136.84210526315792
88,44.0,140.00000000000003,123.15789473684208,136.84210526315792
89,44.5,140.00000000000003,123.15789473684208,136.84210526315792
