,time,S,I,R,N
0,0.0,300.0,100.0,0.0,400.0
1,0.00040322580645161334,300.0,99.0,0.0,399.0
2,0.0008074622038968397,300.0,99.0,0.0,399.0
3,0.0012116986013420662,300.0,99.0,0.0,399.0
4,0.0016159349987872925,300.0,98.0,0.0,398.0
5,0.0020211870655728334,300.0,97.0,0.0,397.0
6,0.0024274599184208067,300.0,97.0,0.0,397.0
7,0.00283373277126878,300.0,97.0,0.0,397.0
8,0.0032400056241167533,299.0,98.0,0.0,397.0
9,0.0036462784769647266,299.0,98.0,0.0,397.0
10,0.0040525513298126994,299.0,98.0,0.0,397.0
11,0.004458824182660672,299.0,97.0,0.0,396.0
12,0.004866122977056241,298.0,98.0,0.0,396.0
13,0.00527342177145181,299.0,98.0,0.0,397.0
14,0.005679694624299783,299.0,98.0,0.0,397.0
15,0.006085967477147756,299.0,98.0,0.0,397.0
16,0.0064922403299957285,299.0,98.0,0.0,397.0
17,0.006898513182843701,299.0,98.0,0.0,397.0
18,0.007304786035691674,299.0,98.0,0.0,397.0
19,0.007711058888539647,299.0,98.0,0.0,397.0
20,0.00811733174138762,299.0,98.0,0.0,397.0
21,0.008523604594235594,299.0,98.0,0.0,397.0
22,0.008929877447083567,299.0,98.0,0.0,397.0
23,0.009336150299931541,299.0,98.0,0.0,397.0
24,0.009742423152779515,299.0,98.0,0.0,397.0
25,0.010148696005627489,299.0,98.0,0.0,397.0
26,0.010554968858475462,299.0,98.0,0.0,397.0
27,0.010961241711323436,299.0,98.0,0.0,397.0
28,0.01136751456417141,299.0,98.0,0.0,397.0
29,0.011773787417019383,299.0,97.0,0.0,396.0
30,0.012181086211414952,299.0,97.0,0.0,396.0
31,0.012588385005810521,299.0,97.0,0.0,396.0
32,0.01299568380020609,300.0,96.0,0.0,396.0
33,0.013402982594601659,300.0,95.0,0.0,395.0
34,0.013811312525185571,299.0,95.0,0.0,394.0
35,0.014220678826151675,299.0,95.0,0.0,394.0
36,0.01463004512711778,299.0,95.0,0.0,394.0
37,0.015039411428083883,299.0,95.0,0.0,394.0
38,0.015448777729049987,299.0,95.0,0.0,394.0
39,0.01585814403001609,299.0,95.0,0.0,394.0
40,0.016267510330982195,299.0,94.0,0.0,393.0
41,0.01667791827648002,299.0,94.0,0.0,393.0
42,0.017088326221977843,299.0,92.0,1.0,392.0
43,0.017499781126520307,299.0,92.0,1.0,392.0
44,0.01791123603106277,299.0,91.0,2.0,392.0
45,0.018322690935605235,299.0,91.0,2.0,392.0
46,0.0187341458401477,299.0,90.0,2.0,391.0
47,0.01914665305902403,299.0,89.0,2.0,390.0
48,0.01956021798871799,299.0,89.0,2.0,390.0
49,0.019973782918411953,298.0,90.0,2.0,390.0
50,0.020387347848105915,298.0,90.0,2.0,390.0
51,0.020800912777799878,298.0,89.0,3.0,390.0
52,0.02121447770749384,298.0,89.0,3.0,390.0
53,0.021628042637187803,298.0,89.0,3.0,390.0
54,0.022041607566881765,298.0,89.0,3.0,390.0
55,0.022455172496575727,298.0,88.0,3.0,389.0
56,0.02286980057518921,298.0,88.0,3.0,389.0
57,0.023284428653802695,298.0,88.0,3.0,389.0
58,0.02369905673241618,298.0,88.0,3.0,389.0
59,0.024113684811029663,298.0,87.0,3.0,388.0
60,0.02452938151871174,299.0,86.0,4.0,389.0
61,0.024944009597325224,299.0,86.0,4.0,389.0
62,0.025358637675938708,299.0,85.0,5.0,389.0
63,0.02577326575455219,299.0,85.0,5.0,389.0
64,0.026187893833165676,299.0,85.0,5.0,389.0
65,0.02660252191177916,298.0,86.0,5.0,389.0
66,0.027017149990392644,298.0,86.0,5.0,389.0
67,0.027431778069006128,298.0,86.0,5.0,389.0
68,0.02784640614761961,297.0,87.0,5.0,389.0
69,0.028261034226233096,297.0,86.0,5.0,388.0
70,0.028676730933915172,297.0,86.0,5.0,388.0
71,0.029092427641597248,298.0,86.0,5.0,389.0
72,0.029507055720210732,298.0,85.0,5.0,388.0
73,0.02992275242789281,297.0,86.0,5.0,388.0
74,0.030338449135574885,297.0,86.0,5.0,388.0
75,0.03075414584325696,297.0,86.0,5.0,388.0
76,0.031169842550939037,296.0,87.0,5.0,388.0
77,0.03158553925862111,296.0,86.0,5.0,387.0
78,0.03200231011800263,296.0,86.0,5.0,387.0
79,0.03241908097738414,296.0,86.0,5.0,387.0
80,0.032835851836765656,297.0,85.0,5.0,387.0
81,0.03325262269614717,297.0,84.0,5.0,386.0
82,0.033670473272780964,297.0,84.0,5.0,386.0
83,0.03408832384941476,297.0,83.0,5.0,385.0
84,0.03450725975222163,297.0,82.0,5.0,384.0
85,0.03492728663394206,297.0,82.0,5.0,384.0
86,0.03534731351566249,297.0,82.0,5.0,384.0
87,0.03576734039738292,297.0,81.0,5.0,383.0
88,0.036188463955034736,297.0,80.0,5.0,382.0
89,0.03661068993037674,297.0,80.0,5.0,382.0
90,0.03703291590571875,297.0,80.0,5.0,382.0
91,0.037455141881060756,297.0,80.0,5.0,382.0
92,0.03787736785640276,297.0,80.0,5.0,382.0
93,0.03829959383174477,297.0,80.0,5.0,382.0
94,0.03872181980708678,297.0,80.0,5.0,382.0
95,0.039144045782428784,296.0,80.0,5.0,381.0
96,0.039567379962430475,296.0,80.0,5.0,381.0
97,0.03999071414243217,296.0,79.0,5.0,380.0
98,0.04041516235974965,296.0,78.0,5.0,379.0
99,0.04084073049320782,296.0,78.0,5.0,379.0
100,0.04126629862666599,297.0,77.0,5.0,379.0
101,0.04169186676012416,296.0,77.0,5.0,378.0
102,0.04211856073520523,295.0,78.0,5.0,378.0
103,0.0425452547102863,295.0,78.0,5.0,378.0
104,0.04297194868536737,295.0,78.0,5.0,378.0
105,0.04339864266044844,295.0,78.0,5.0,378.0
106,0.04382533663552951,295.0,78.0,5.0,378.0
107,0.04425203061061058,295.0,78.0,5.0,378.0
108,0.04467872458569165,295.0,78.0,5.0,378.0
109,0.04510541856077272,295.0,78.0,5.0,378.0
110,0.04553211253585379,294.0,78.0,5.0,377.0
111,0.04595993832519237,294.0,78.0,5.0,377.0
112,0.04638776411453095,294.0,78.0,5.0,377.0
113,0.04681558990386953,294.0,78.0,5.0,377.0
114,0.04724341569320811,294.0,78.0,5.0,377.0
115,0.04767124148254669,294.0,78.0,5.0,377.0
116,0.048099067271885274,294.0,78.0,5.0,377.0
117,0.048526893061223854,294.0,77.0,5.0,376.0
118,0.04895585668510855,294.0,77.0,5.0,376.0
119,0.04938482030899325,294.0,77.0,5.0,376.0
120,0.04981378393287795,294.0,77.0,5.0,376.0
