,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.00125,299.0,101.0,0.0
2,0.0025,299.0,100.0,1.0
3,0.00375,299.0,100.0,1.0
4,0.005,299.0,99.0,2.0
5,0.00625,299.0,99.0,2.0
6,0.0075,298.0,100.0,2.0
7,0.00875,297.0,100.0,3.0
8,0.01,297.0,100.0,3.0
9,0.01125,297.0,100.0,3.0
10,0.0125,297.0,100.0,3.0
11,0.01375,297.0,100.0,3.0
12,0.015,296.0,101.0,3.0
13,0.01625,295.0,101.0,4.0
14,0.0175,294.0,101.0,5.0
15,0.01875,294.0,101.0,5.0
16,0.02,294.0,100.0,6.0
17,0.02125,293.0,101.0,6.0
18,0.0225,293.0,100.0,7.0
19,0.02375,292.0,101.0,7.0
20,0.025,292.0,101.0,7.0
21,0.02625,292.0,100.0,8.0
22,0.0275,291.0,101.0,8.0
23,0.02875,290.0,102.0,8.0
24,0.03,290.0,102.0,8.0
25,0.03125,290.0,102.0,8.0
26,0.0325,289.0,103.0,8.0
27,0.03375,288.0,104.0,8.0
28,0.035,288.0,104.0,8.0
29,0.03625,287.0,105.0,8.0
30,0.0375,287.0,105.0,8.0
31,0.03875,286.0,105.0,9.0
32,0.04,286.0,105.0,9.0
33,0.04125,286.0,104.0,10.0
34,0.0425,286.0,104.0,10.0
35,0.043750000000000004,286.0,104.0,10.0
36,0.045,286.0,104.0,10.0
37,0.04625,285.0,104.0,11.0
38,0.0475,284.0,104.0,12.0
39,0.04875,284.0,104.0,12.0
40,0.05,284.0,104.0,12.0
41,0.051250000000000004,283.0,105.0,12.0
42,0.0525,283.0,105.0,12.0
43,0.05375,282.0,106.0,12.0
44,0.055,282.0,106.0,12.0
45,0.05625,281.0,107.0,12.0
46,0.0575,281.0,107.0,12.0
47,0.058750000000000004,281.0,107.0,12.0
48,0.06,281.0,106.0,13.0
49,0.06125,281.0,106.0,13.0
50,0.0625,281.0,106.0,13.0
51,0.06375,281.0,106.0,13.0
52,0.065,281.0,106.0,13.0
53,0.06625,280.0,107.0,13.0
54,0.0675,279.0,108.0,13.0
55,0.06875,279.0,107.0,14.0
56,0.07,279.0,107.0,14.0
57,0.07125000000000001,279.0,106.0,15.0
58,0.0725,279.0,106.0,15.0
59,0.07375,279.0,106.0,15.0
60,0.075,279.0,106.0,15.0
61,0.07625,279.0,106.0,15.0
62,0.0775,279.0,106.0,15.0
63,0.07875,279.0,106.0,15.0
64,0.08,279.0,106.0,15.0
65,0.08125,278.0,106.0,16.0
66,0.0825,277.0,106.0,17.0
67,0.08375,276.0,107.0,17.0
68,0.085,276.0,106.0,18.0
69,0.08625000000000001,275.0,106.0,19.0
70,0.08750000000000001,275.0,106.0,19.0
71,0.08875,274.0,107.0,19.0
72,0.09,274.0,106.0,20.0
73,0.09125,273.0,107.0,20.0
74,0.0925,273.0,107.0,20.0
75,0.09375,273.0,107.0,20.0
76,0.095,273.0,106.0,21.0
77,0.09625,273.0,106.0,21.0
78,0.0975,272.0,106.0,22.0
79,0.09875,272.0,105.0,23.0
80,0.1,272.0,105.0,23.0
81,0.10125,271.0,106.0,23.0
82,0.10250000000000001,271.0,106.0,23.0
83,0.10375000000000001,271.0,105.0,24.0
84,0.105,271.0,105.0,24.0
85,0.10625,270.0,106.0,24.0
86,0.1075,270.0,106.0,24.0
87,0.10875,270.0,106.0,24.0
88,0.11,269.0,107.0,24.0
89,0.11125,268.0,107.0,25.0
90,0.1125,268.0,106.0,26.0
91,0.11375,268.0,106.0,26.0
92,0.115,268.0,105.0,27.0
93,0.11625,268.0,105.0,27.0
94,0.11750000000000001,268.0,105.0,27.0
95,0.11875000000000001,267.0,106.0,27.0
96,0.12,266.0,107.0,27.0
97,0.12125,266.0,107.0,27.0
98,0.1225,266.0,107.0,27.0
99,0.12375,265.0,108.0,27.0
100,0.125,265.0,108.0,27.0
101,0.12625,265.0,107.0,28.0
102,0.1275,264.0,107.0,29.0
103,0.12875,264.0,107.0,29.0
104,0.13,263.0,108.0,29.0
105,0.13125,262.0,109.0,29.0
106,0.1325,261.0,110.0,29.0
107,0.13375,261.0,109.0,30.0
108,0.135,261.0,108.0,31.0
109,0.13625,261.0,108.0,31.0
110,0.1375,261.0,108.0,31.0
111,0.13875,260.0,109.0,31.0
112,0.14,259.0,109.0,32.0
113,0.14125000000000001,259.0,108.0,33.0
114,0.14250000000000002,259.0,108.0,33.0
