,S,I,R
0,300.0,100.0,0.0
1,300.0,99.0,1.0
2,300.0,99.0,1.0
3,300.0,99.0,1.0
4,300.0,99.0,1.0
5,299.0,99.0,2.0
6,298.0,99.0,3.0
7,298.0,99.0,3.0
8,298.0,99.0,3.0
9,297.0,99.0,4.0
10,297.0,99.0,4.0
11,297.0,99.0,4.0
12,297.0,99.0,4.0
13,296.0,99.0,5.0
14,296.0,99.0,5.0
15,296.0,98.0,6.0
16,296.0,98.0,6.0
17,296.0,98.0,6.0
18,296.0,98.0,6.0
19,296.0,98.0,6.0
20,296.0,98.0,6.0
21,295.0,99.0,6.0
22,294.0,100.0,6.0
23,294.0,100.0,6.0
24,294.0,100.0,6.0
25,294.0,100.0,6.0
26,294.0,100.0,6.0
27,294.0,100.0,6.0
28,294.0,100.0,6.0
29,293.0,101.0,6.0
30,293.0,100.0,7.0
31,293.0,100.0,7.0
32,293.0,100.0,7.0
33,292.0,100.0,8.0
34,292.0,100.0,8.0
35,292.0,100.0,8.0
36,291.0,101.0,8.0
37,291.0,100.0,9.0
38,291.0,100.0,9.0
39,290.0,101.0,9.0
40,289.0,102.0,9.0
41,288.0,103.0,9.0
42,288.0,103.0,9.0
43,288.0,103.0,9.0
44,287.0,104.0,9.0
45,287.0,103.0,10.0
46,286.0,103.0,11.0
47,286.0,103.0,11.0
48,286.0,102.0,12.0
49,285.0,103.0,12.0
50,284.0,104.0,12.0
51,284.0,104.0,12.0
52,284.0,104.0,12.0
53,284.0,104.0,12.0
54,284.0,103.0,13.0
55,284.0,103.0,13.0
56,284.0,103.0,13.0
57,284.0,102.0,14.0
58,283.0,102.0,15.0
59,283.0,101.0,16.0
60,282.0,101.0,17.0
61,282.0,101.0,17.0
62,282.0,100.0,18.0
63,282.0,99.0,19.0
64,282.0,99.0,19.0
65,281.0,100.0,19.0
66,281.0,99.0,20.0
67,281.0,99.0,20.0
68,281.0,98.0,21.0
69,280.0,99.0,21.0
70,279.0,100.0,21.0
71,279.0,100.0,21.0
72,279.0,100.0,21.0
73,278.0,100.0,22.0
74,278.0,100.0,22.0
75,278.0,100.0,22.0
76,278.0,99.0,23.0
77,277.0,100.0,23.0
78,277.0,99.0,24.0
79,277.0,99.0,24.0
80,277.0,99.0,24.0
81,277.0,99.0,24.0
82,277.0,98.0,25.0
83,277.0,97.0,26.0
84,277.0,97.0,26.0
85,277.0,97.0,26.0
86,277.0,96.0,27.0
87,277.0,96.0,27.0
88,277.0,95.0,28.0
89,276.0,96.0,28.0
90,275.0,97.0,28.0
91,275.0,97.0,28.0
92,274.0,98.0,28.0
93,274.0,98.0,28.0
94,274.0,97.0,29.0
95,274.0,96.0,30.0
96,274.0,96.0,30.0
97,274.0,96.0,30.0
98,274.0,96.0,30.0
99,273.0,97.0,30.0
100,273.0,96.0,31.0
101,273.0,96.0,31.0
102,272.0,96.0,32.0
103,272.0,96.0,32.0
104,272.0,96.0,32.0
105,271.0,97.0,32.0
106,271.0,96.0,33.0
107,271.0,95.0,34.0
108,271.0,94.0,35.0
109,271.0,94.0,35.0
110,271.0,93.0,36.0
111,271.0,93.0,36.0
112,271.0,93.0,36.0
113,271.0,93.0,36.0
114,271.0,93.0,36.0
115,271.0,93.0,36.0
116,271.0,93.0,36.0
117,271.0,93.0,36.0
118,271.0,93.0,36.0
119,271.0,93.0,36.0
120,271.0,93.0,36.0
121,271.0,92.0,37.0
122,271.0,92.0,37.0
123,270.0,92.0,38.0
124,270.0,92.0,38.0
125,270.0,92.0,38.0
126,269.0,93.0,38.0
127,269.0,93.0,38.0
128,269.0,93.0,38.0
129,269.0,92.0,39.0
130,269.0,92.0,39.0
131,269.0,92.0,39.0
132,269.0,92.0,39.0
133,269.0,92.0,39.0
134,269.0,92.0,39.0
135,269.0,92.0,39.0
136,269.0,92.0,39.0
137,269.0,92.0,39.0
138,268.0,92.0,40.0
139,268.0,92.0,40.0
140,267.0,93.0,40.0
141,267.0,92.0,41.0
142,267.0,91.0,42.0
143,267.0,91.0,42.0
144,267.0,90.0,43.0
145,267.0,90.0,43.0
146,267.0,90.0,43.0
147,267.0,90.0,43.0
148,267.0,90.0,43.0
149,266.0,90.0,44.0
150,266.0,90.0,44.0
151,266.0,90.0,44.0
152,266.0,90.0,44.0
153,265.0,91.0,44.0
154,265.0,91.0,44.0
155,265.0,91.0,44.0
156,265.0,91.0,44.0
157,264.0,92.0,44.0
158,264.0,92.0,44.0
159,264.0,92.0,44.0
160,264.0,92.0,44.0
161,264.0,92.0,44.0
162,264.0,92.0,44.0
163,264.0,92.0,44.0
164,264.0,92.0,44.0
165,264.0,92.0,44.0
166,264.0,92.0,44.0
167,264.0,92.0,44.0
168,264.0,92.0,44.0
169,264.0,91.0,45.0
170,264.0,91.0,45.0
171,264.0,91.0,45.0
172,264.0,91.0,45.0
173,263.0,92.0,45.0
174,263.0,92.0,45.0
175,263.0,92.0,45.0
176,262.0,93.0,45.0
177,262.0,93.0,45.0
178,261.0,94.0,45.0
179,261.0,94.0,45.0
180,260.0,94.0,46.0
181,260.0,93.0,47.0
182,260.0,93.0,47.0
183,260.0,92.0,48.0
184,260.0,92.0,48.0
185,260.0,92.0,48.0
186,259.0,93.0,48.0
187,259.0,93.0,48.0
188,259.0,93.0,48.0
189,259.0,92.0,49.0
190,259.0,92.0,49.0
191,259.0,92.0,49.0
192,259.0,91.0,50.0
193,258.0,91.0,51.0
194,258.0,91.0,51.0
195,258.0,90.0,52.0
196,257.0,91.0,52.0
197,257.0,91.0,52.0
198,257.0,91.0,52.0
199,257.0,90.0,53.0
200,257.0,90.0,53.0
201,257.0,90.0,53.0
202,257.0,90.0,53.0
