,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.0025,299.0,101.0,0.0
2,0.005,298.0,102.0,0.0
3,0.0075,297.0,102.0,1.0
4,0.01,296.0,103.0,1.0
5,0.0125,296.0,103.0,1.0
6,0.015,295.0,104.0,1.0
7,0.0175,294.0,105.0,1.0
8,0.02,294.0,105.0,1.0
9,0.0225,293.0,106.0,1.0
10,0.025,292.0,107.0,1.0
11,0.0275,291.0,107.0,2.0
12,0.03,290.0,108.0,2.0
13,0.0325,290.0,108.0,2.0
14,0.035,289.0,108.0,3.0
15,0.0375,289.0,108.0,3.0
16,0.04,288.0,109.0,3.0
17,0.0425,287.0,109.0,4.0
18,0.045,286.0,110.0,4.0
19,0.0475,286.0,110.0,4.0
20,0.05,285.0,110.0,5.0
21,0.0525,284.0,111.0,5.0
22,0.055,284.0,111.0,5.0
23,0.0575,283.0,111.0,6.0
24,0.06,282.0,112.0,6.0
25,0.0625,281.0,113.0,6.0
26,0.065,280.0,114.0,6.0
27,0.0675,279.0,114.0,7.0
28,0.07,278.0,115.0,7.0
29,0.0725,277.0,116.0,7.0
30,0.075,276.0,116.0,8.0
31,0.0775,275.0,116.0,9.0
32,0.08,274.0,116.0,10.0
33,0.0825,273.0,117.0,10.0
34,0.085,272.0,118.0,10.0
35,0.08750000000000001,271.0,119.0,10.0
36,0.09,270.0,120.0,10.0
37,0.0925,269.0,120.0,11.0
38,0.095,268.0,121.0,11.0
39,0.0975,268.0,121.0,11.0
40,0.1,267.0,122.0,11.0
41,0.10250000000000001,266.0,123.0,11.0
42,0.105,266.0,123.0,11.0
43,0.1075,265.0,124.0,11.0
44,0.11,264.0,125.0,11.0
45,0.1125,263.0,126.0,11.0
46,0.115,262.0,127.0,11.0
47,0.11750000000000001,261.0,128.0,11.0
48,0.12,260.0,129.0,11.0
49,0.1225,260.0,129.0,11.0
50,0.125,259.0,130.0,11.0
51,0.1275,258.0,131.0,11.0
52,0.13,257.0,132.0,11.0
53,0.1325,256.0,133.0,11.0
54,0.135,255.0,134.0,11.0
55,0.1375,254.0,134.0,12.0
56,0.14,253.0,135.0,12.0
57,0.14250000000000002,252.0,136.0,12.0
58,0.145,252.0,136.0,12.0
59,0.1475,251.0,137.0,12.0
60,0.15,250.0,138.0,12.0
61,0.1525,249.0,139.0,12.0
62,0.155,248.0,140.0,12.0
63,0.1575,248.0,139.0,13.0
64,0.16,247.0,140.0,13.0
65,0.1625,246.0,140.0,14.0
66,0.165,245.0,141.0,14.0
67,0.1675,244.0,141.0,15.0
68,0.17,243.0,141.0,16.0
